day,flux
2454146.4132,5.62341325190349e-07
2454146.50694,5.623413251903491e-06
2454146.523,1e-06
2454146.5451,3.162277660168379e-06
2454146.6,3.162277660168379e-06
2454146.60069,3.162277660168379e-06
2454147.26042,1e-06
2454147.2611,1.778279410038923e-06
2454147.2625,1e-05
2454147.2708,3.162277660168379e-06
2454147.29,1e-06
2454147.292,3.162277660168379e-08
2454147.3,1.778279410038923e-06
2454147.3,5.62341325190349e-07
2454147.3,1.7782794100389227e-07
2454147.31458,1.778279410038923e-06
2454147.3472,1.7782794100389227e-07
2454147.5,3.162277660168379e-06
2454147.5,5.62341325190349e-07
2454147.52813,1e-06
2454147.54653,3.162277660168379e-06
2454147.59375,5.623413251903491e-06
2454147.6,1e-07
2454147.9028,1e-06
2454147.9722,1e-05
2454148.226,3.162277660168379e-06
2454148.2264,1e-06
2454148.3,1e-06
2454148.3278,5.62341325190349e-07
2454148.48958,5.623413251903491e-06
2454148.5,3.162277660168379e-07
2454148.5,1.778279410038923e-06
2454148.5278,1.778279410038923e-06
2454148.55903,3.162277660168379e-06
2454148.5625,1.778279410038923e-06
2454148.59722,5.623413251903491e-06
2454148.7,1e-06
2454149.0521,1e-05
2454149.2,3.162277660168379e-06
2454149.2083,1.778279410038923e-06
2454149.22569,1.778279410038923e-06
2454149.2417,1.778279410038923e-06
2454149.2435,1.778279410038923e-06
2454149.2646,1.778279410038923e-06
2454149.27,1e-06
2454149.2708,3.162277660168379e-06
2454149.2868,1.7782794100389228e-08
2454149.30903,1.778279410038923e-06
2454149.4,3.162277660168379e-07
2454149.5,3.162277660168379e-06
2454149.51042,1e-05
2454149.52153,1.7782794100389227e-07
2454149.55278,1e-05
2454149.566,1e-05
2454149.57639,1.778279410038923e-06
2454149.60117,1.778279410038923e-06
2454149.72153,5.623413251903491e-06
2454149.8924,1.778279410038923e-06
2454150.2,5.62341325190349e-07
2454150.21,1e-06
2454150.21,1e-06
2454150.2222,1.778279410038923e-06
2454150.22569,3.162277660168379e-06
2454150.23,3.162277660168379e-06
2454150.25,1.333521432163324e-06
2454150.2778,1.7782794100389228e-08
2454150.285,1e-06
2454150.3,1.7782794100389227e-07
2454150.32,1.7782794100389227e-07
2454150.5,1e-07
2454150.5,5.62341325190349e-07
2454150.51389,1.778279410038923e-06
2454150.5139,3.162277660168379e-06
2454150.52083,5.623413251903491e-06
2454150.525,5.623413251903491e-06
2454150.5347,1e-05
2454150.54167,5.623413251903491e-06
2454150.54167,3.162277660168379e-06
2454151.0326,1e-05
2454151.19792,1.778279410038923e-05
2454151.2569,1.778279410038923e-06
2454151.2951,2.6607250597988086e-06
2454151.5,1e-05
2454151.55556,5.623413251903491e-06
2454151.63681,5.623413251903491e-06
2454151.9979,1e-05
2454152.2931,1.778279410038923e-06
2454152.2986,1.778279410038923e-06
2454152.5,5.623413251903491e-06
2454152.59931,3.162277660168379e-06
2454153.2,3.162277660168379e-07
2454153.2972,5.62341325190349e-07
2454153.2986,3.162277660168379e-06
2454153.3,1.778279410038923e-06
2454153.3,3.162277660168379e-08
2454153.5,1.778279410038923e-06
2454153.5,3.162277660168379e-07
2454153.5,1.778279410038923e-06
2454153.5069,3.162277660168379e-06
2454153.523,5.623413251903491e-06
2454153.52639,3.162277660168379e-06
2454153.59722,5.623413251903491e-06
2454154.0,5.623413251903491e-06
2454154.0222,1e-05
2454154.25,5.62341325190349e-07
2454154.2557,1.778279410038923e-06
2454154.27222,5.623413251903491e-06
2454154.2903,1.778279410038923e-06
2454154.2972,5.62341325190349e-07
2454154.3,1e-06
2454154.33681,1.778279410038923e-06
2454154.5,1.7782794100389227e-07
2454154.5382,3.162277660168379e-06
2454154.5625,1e-05
2454155.23,5.623413251903491e-06
2454155.5,1.7782794100389227e-07
2454155.5015,5.623413251903491e-06
2454155.5125,3.162277660168379e-06
2454155.5313,3.162277660168379e-06
2454155.56597,5.623413251903491e-06
2454155.6097,1.778279410038923e-06
2454156.5,1e-06
2454156.50556,1.778279410038923e-06
2454157.20833,3.162277660168379e-06
2454157.2257,3.162277660168379e-06
2454157.2326,3.162277660168379e-06
2454157.4,5.623413251903491e-06
2454157.4479,1e-05
2454157.53819,1e-05
2454157.59583,3.162277660168379e-06
2454157.8882,1.778279410038923e-06
2454157.95833,3.162277660168379e-06
2454158.21181,5.623413251903491e-06
2454158.2882,1.778279410038923e-06
2454158.466,1.778279410038923e-05
2454159.25,1.778279410038923e-06
2454159.2569,3.162277660168379e-06
2454159.26,1e-05
2454159.2972,1e-06
2454159.3229,3.162277660168379e-08
2454159.4514,1e-05
2454159.52778,5.623413251903491e-06
2454160.5,1e-07
2454161.0278,1.778279410038923e-06
2454161.29,3.162277660168379e-06
2454161.292,5.62341325190349e-07
2454161.3042,1e-06
2454161.4792,1e-05
2454162.2,3.162277660168379e-06
2454162.2222,1.778279410038923e-06
2454162.24306,1.778279410038923e-06
2454162.2785,1e-06
2454162.55,3.162277660168379e-06
2454163.25694,1e-06
2454163.28,5.62341325190349e-07
2454163.29,3.162277660168379e-06
2454163.2993,5.62341325190349e-07
2454163.5,5.62341325190349e-07
2454164.2,5.6234132519034905e-08
2454164.23,5.62341325190349e-07
2454164.24,1e-06
2454164.24,1e-06
2454164.25,5.6234132519034905e-08
2454164.25,5.62341325190349e-07
2454164.3,5.6234132519034905e-08
2454164.51042,1.778279410038923e-06
2454164.529,5.62341325190349e-07
2454164.96875,1.778279410038923e-06
2454165.2,1e-06
2454165.21528,1e-05
2454165.23,3.162277660168379e-07
2454165.25347,1e-06
2454165.27986,1.778279410038923e-06
2454165.29,7.498942093324558e-07
2454165.29028,1e-06
2454165.3,1e-08
2454165.3021,1e-07
2454165.3111,3.162277660168379e-08
2454165.5,3.162277660168379e-07
2454165.5,5.6234132519034905e-08
2454165.52083,1.778279410038923e-06
2454165.6,3.162277660168379e-07
2454166.2,1e-07
2454166.2,3.1622776601683795e-09
2454166.2293,5.62341325190349e-07
2454166.23,3.162277660168379e-07
2454166.23,3.162277660168379e-07
2454166.3,3.162277660168379e-07
2454166.9201,5.62341325190349e-07
2454167.2,3.162277660168379e-08
2454167.238,5.62341325190349e-07
2454167.25,5.62341325190349e-07
2454167.2917,5.623413251903491e-09
2454167.2986,5.62341325190349e-07
2454167.3,1e-07
2454167.3,5.62341325190349e-07
2454167.31,5.62341325190349e-07
2454167.5035,5.62341325190349e-07
2454167.5335,5.62341325190349e-07
2454167.53819,3.162277660168379e-06
2454167.5583,1.7782794100389227e-07
2454168.23,1e-06
2454168.3,3.162277660168379e-06
2454168.4264,5.623413251903491e-06
2454168.5,1e-08
2454169.3,1e-07
2454169.3,1.7782794100389227e-07
2454169.3132,5.6234132519034905e-08
2454169.5,3.162277660168379e-08
2454169.5313,5.62341325190349e-07
2454170.2729,1.778279410038923e-06
2454170.30972,5.6234132519034905e-08
2454170.32,1.7782794100389228e-08
2454170.8993,1.7782794100389227e-07
2454171.2,5.62341325190349e-07
2454171.2,1.7782794100389228e-08
2454171.2514,1.7782794100389227e-07
2454171.26,3.162277660168379e-07
2454171.26,5.62341325190349e-07
2454171.267,3.162277660168379e-08
2454171.271,5.623413251903491e-10
2454171.2771,1.7782794100389228e-08
2454171.29,1e-06
2454171.3,1.7782794100389227e-07
2454171.3056,5.6234132519034905e-08
2454171.5,3.162277660168379e-08
2454171.5,5.623413251903491e-09
2454171.51736,5.6234132519034905e-08
2454171.5295,1.7782794100389227e-07
2454172.23,3.162277660168379e-08
2454172.24653,1.7782794100389227e-07
2454172.26,3.162277660168379e-08
2454172.2708,1.7782794100389227e-07
2454172.2736,1.7782794100389228e-08
2454172.3,3.162277660168379e-06
2454172.3,1.7782794100389227e-07
2454172.3083,1.7782794100389228e-08
2454172.8993,3.162277660168379e-07
2454173.2361,1.7782794100389227e-07
2454173.24306,1.7782794100389227e-07
2454173.26,3.162277660168379e-07
2454173.271,3.1622776601683795e-10
2454173.2868,1e-08
2454173.29,5.62341325190349e-07
2454173.52778,3.162277660168379e-06
2454173.9,5.62341325190349e-07
2454174.2,1e-08
2454174.2722,1.7782794100389228e-08
2454174.3,5.623413251903491e-10
2454174.98958,5.62341325190349e-07
2454175.243,1e-07
2454175.26,5.6234132519034905e-08
2454175.26,1e-07
2454175.5,5.6234132519034905e-08
2454176.5,1.7782794100389227e-07
2454176.52083,3.162277660168379e-06
2454177.5,3.162277660168379e-08
2454177.538,3.1622776601683795e-09
2454177.5528,1.7782794100389228e-08
2454177.9069,1.7782794100389227e-07
2454178.5,5.623413251903491e-09
2454178.54861,1e-06
2454178.60208,3.162277660168379e-08
2454180.19444,1e-07
2454180.5,1.7782794100389228e-09
2454180.52778,1e-08
2454180.53056,1.7782794100389227e-07
2454184.52986,5.623413251903491e-09
2454186.95486,5.623413251903491e-09
2454189.53125,1e-08
2454191.94792,3.1622776601683795e-09
2454195.95139,5.623413251903491e-09
2454199.4174,3.1622776601683795e-10
2454251.3069,1e-15
2454267.3069,5.62341325190349e-17
2454280.8,5.623413251903491e-19
2454282.1,3.1622776601683795e-18
2454287.9,1e-18
2454292.0,3.162277660168379e-19
2454293.8,3.162277660168379e-20
2454294.3146,1.7782794100389227e-19
2454295.85,1.7782794100389227e-19
2454296.56,1.7782794100389227e-19
2454298.1,5.623413251903491e-19
2454298.53819,5.62341325190349e-20
2454301.2979,3.162277660168379e-20
2454301.9,1.7782794100389227e-19
2454303.8,1.778279410038923e-21
2454303.8361,1.7782794100389228e-20
2454303.875,1.7782794100389228e-20
2454304.53125,3.162277660168379e-20
2454306.8,1.7782794100389228e-20
2454308.3076,1.7782794100389228e-20
2454308.5778,3.1622776601683792e-21
2454309.6,1e-21
2454312.8,5.623413251903491e-22
2454312.9,1.778279410038923e-21
2454318.6,5.623413251903491e-22
2454321.5,3.1622776601683793e-23
2454321.54167,5.623413251903491e-22
2454322.5562,1.778279410038923e-21
2454323.8,1e-22
2454323.808,5.623413251903491e-22
2454323.8417,5.6234132519034906e-21
2454324.76181,5.623413251903491e-23
2454325.8868,1e-22
2454326.58,3.1622776601683793e-22
2454326.6,5.623413251903491e-22
2454326.6,1e-21
2454327.5,1.778279410038923e-21
2454327.54,1.7782794100389228e-22
2454328.6,1e-22
2454330.5035,5.623413251903491e-23
2454330.5694,1e-21
2454333.51389,1e-22
2454334.54,5.623413251903491e-22
2454335.59,5.623413251903491e-23
2454337.5694,1e-22
2454337.5979,1.7782794100389228e-22
2454338.53472,5.623413251903491e-23
2454338.9,5.623413251903491e-23
2454339.5,1e-23
2454340.8,1e-23
2454347.6361,1e-22
2454351.5,1.7782794100389228e-22
2454352.6,3.1622776601683793e-23
2454352.6,1e-23
2454353.38,1.778279410038923e-24
2454355.5,1e-23
2454355.5646,1e-23
2454355.6493,1.7782794100389228e-23
2454356.4,1.7782794100389228e-23
2454356.4375,3.1622776601683793e-23
2454357.44,3.1622776601683793e-23
2454357.5,3.1622776601683793e-23
2454357.51736,1.7782794100389228e-23
2454357.61944,1e-23
2454358.45,1.778279410038923e-24
2454358.52,1e-23
2454358.5583,5.623413251903491e-24
2454358.6563,3.1622776601683793e-23
2454359.5,1e-24
2454359.5097,3.1622776601683793e-23
2454359.706,5.623413251903491e-24
2454360.8,3.1622776601683795e-24
2454360.8868,1.7782794100389228e-23
2454361.49,3.1622776601683795e-24
2454361.88542,3.1622776601683795e-24
2454361.90278,3.1622776601683793e-23
2454362.2188,1e-23
2454362.2188,1e-23
2454362.5,3.1622776601683795e-24
2454362.6,5.623413251903491e-24
2454363.20833,1e-23
2454363.4,1.7782794100389228e-23
2454363.4,5.623413251903491e-24
2454363.5,1e-22
2454364.45,5.623413251903491e-23
2454364.56,3.1622776601683795e-24
2454364.6028,1e-23
2454364.8,5.623413251903491e-24
2454365.43,3.1622776601683795e-24
2454365.438,1e-25
2454365.4611,1e-23
2454365.9097,3.1622776601683795e-24
2454366.59375,1.778279410038923e-24
2454366.6472,1e-23
2454366.7007,1e-23
2454366.7007,5.623413251903491e-24
2454367.4236,1.7782794100389228e-23
2454367.8,1e-24
2454370.68403,1e-24
2454372.9125,3.1622776601683793e-23
2454373.49,5.623413251903491e-24
2454373.5,5.623413251903491e-24
2454374.60139,1.778279410038923e-24
2454375.4,5.623413251903491e-25
2454376.3556,3.1622776601683793e-23
2454376.43958,1.7782794100389228e-23
2454377.4,3.1622776601683795e-24
2454378.4,3.1622776601683795e-24
2454378.465,3.1622776601683793e-23
2454378.6458,1.778279410038923e-24
2454379.4,5.623413251903491e-25
2454379.465,3.1622776601683793e-23
2454379.55,1e-23
2454380.6,1.7782794100389228e-23
2454380.9,3.1622776601683796e-25
2454381.33333,1e-23
2454381.4,1e-23
2454381.69097,5.623413251903491e-25
2454382.46806,5.623413251903491e-24
2454383.3,1.778279410038923e-24
2454383.77431,3.1622776601683795e-24
2454384.56,1.7782794100389228e-23
2454384.6,1.778279410038923e-24
2454386.94375,1e-23
2454387.0535,1.778279410038923e-24
2454387.3,1e-22
2454387.375,5.623413251903491e-23
2454387.4,1.7782794100389227e-25
2454387.4,3.1622776601683796e-25
2454387.4583,3.1622776601683795e-24
2454387.59,1.7782794100389228e-23
2454387.61944,1.778279410038923e-24
2454388.35278,1.7782794100389228e-23
2454388.39,5.623413251903491e-24
2454388.49653,1e-24
2454388.5,1e-23
2454389.34,1e-24
2454390.4,1.7782794100389227e-25
2454390.5903,1e-22
2454390.8986,5.623413251903491e-25
2454391.6,1e-24
2454391.6403,1.778279410038923e-24
2454392.448,1e-23
2454392.5778,1e-23
2454392.76319,1e-23
2454393.4,1e-23
2454393.75417,1.7782794100389228e-23
2454394.09722,1e-23
2454394.5778,1e-23
2454394.683,3.1622776601683795e-24
